"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:4576.1-4627.7",,2,12,31,31,0,1,5,1,0,"autfilt","ok",0,0.0058898,2,12,31,31,0,1,5,1,0
"data/automatons/randaut.hoa:4628.1-4649.7",,2,5,8,8,0,3,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.717155,2,8,19,32,2,6,0,0,0
"data/automatons/randaut.hoa:4628.1-4649.7",,2,5,8,8,0,3,0,0,0,"autfilt","ok",0,0.00771692,2,5,8,8,0,3,0,0,0
"data/automatons/randaut.hoa:4650.1-4740.7",,1,20,62,62,0,1,16,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,12.826,1,217,433,434,2,193,0,0,0
"data/automatons/randaut.hoa:4650.1-4740.7",,1,20,62,62,0,1,16,1,0,"autfilt","ok",0,0.00589419,1,20,62,62,0,1,16,1,0
"data/automatons/randaut.hoa:4741.1-4831.7",,2,20,62,62,0,1,11,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,26.8609,2,234,912,936,2,5,0,0,0
"data/automatons/randaut.hoa:4741.1-4831.7",,2,20,62,62,0,1,11,1,0,"autfilt","ok",0,0.00586788,2,20,62,62,0,1,11,1,0
"data/automatons/randaut.hoa:4832.1-4905.7",,2,17,48,48,0,2,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,164.442,2,1289,5113,5156,2,34,0,0,0
"data/automatons/randaut.hoa:4832.1-4905.7",,2,17,48,48,0,2,9,1,0,"autfilt","ok",0,0.0045345,2,17,48,48,0,2,9,1,0
"data/automatons/randaut.hoa:4906.1-4929.7",,3,6,9,9,0,3,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.858676,3,9,21,72,2,6,0,0,0
"data/automatons/randaut.hoa:4906.1-4929.7",,3,6,9,9,0,3,0,0,0,"autfilt","ok",0,0.00718121,3,6,9,9,0,3,0,0,0
"data/automatons/randaut.hoa:4930.1-4987.7",,1,13,36,36,0,1,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,4.695,1,89,177,178,2,7,0,0,0
"data/automatons/randaut.hoa:4930.1-4987.7",,1,13,36,36,0,1,9,1,0,"autfilt","ok",0,0.00697399,1,13,36,36,0,1,9,1,0
"data/automatons/randaut.hoa:4988.1-4998.7",,3,1,1,1,0,1,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.791711,3,3,5,24,2,3,0,0,0
"data/automatons/randaut.hoa:4988.1-4998.7",,3,1,1,1,0,1,0,0,0,"autfilt","ok",0,0.00592668,3,1,1,1,0,1,0,0,0
"data/automatons/randaut.hoa:4999.1-5031.7",,2,8,16,16,0,3,4,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.938682,2,12,31,48,2,6,0,0,0
"data/automatons/randaut.hoa:4999.1-5031.7",,2,8,16,16,0,3,4,1,0,"autfilt","ok",0,0.00585773,2,8,16,16,0,3,4,1,0
"data/automatons/randaut.hoa:5032.1-5098.7",,1,16,42,42,0,1,13,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,9.98888,1,150,299,300,2,3,0,0,0
"data/automatons/randaut.hoa:5032.1-5098.7",,1,16,42,42,0,1,13,1,0,"autfilt","ok",0,0.00455721,1,16,42,42,0,1,13,1,0
